timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/07 02:08:10.274, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.276, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.289, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.290, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.301, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.302, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:08:10.313, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.315, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:08:10.326, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.328, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.339, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.340, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.352, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.353, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.364, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.365, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:08:10.376, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.378, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:08:10.389, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.390, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.402, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.403, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.414, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.415, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.427, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.428, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.440, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.441, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.452, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.453, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.464, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.466, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.477, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.478, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.489, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.491, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.502, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.504, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:08:10.515, NVIDIA A30, 51, 0 %, 0 %
2022/12/07 02:08:10.516, NVIDIA A30, 42, 0 %, 0 %
