timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/07 02:12:33.647, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.650, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.662, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.663, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.675, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.676, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:33.687, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.689, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:33.700, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.701, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.713, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.714, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.725, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.727, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.738, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.739, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.750, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.751, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.763, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.764, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.775, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.776, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.787, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.789, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.800, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.801, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.813, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.814, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.825, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.826, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.837, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.838, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.850, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.851, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.862, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.863, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.875, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.876, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.887, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.889, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:33.900, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.901, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:33.912, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.914, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.925, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.926, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:33.937, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.938, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:33.949, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.951, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:33.962, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.963, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:33.975, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.976, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:33.987, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:33.988, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:33.999, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.001, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:34.012, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.013, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:34.024, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.025, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:12:34.037, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.038, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:34.049, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.051, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:34.062, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.064, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:34.075, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.076, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:34.088, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.089, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:34.100, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.101, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:34.112, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.113, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:12:34.124, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 02:12:34.126, NVIDIA A30, 43, 0 %, 0 %
