timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/07 02:05:12.719, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.721, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.733, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.734, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.746, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.747, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.758, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.759, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.771, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.772, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.783, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.784, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.795, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.796, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.807, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.809, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.820, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.821, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.833, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.834, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.845, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.846, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.857, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.858, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.870, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.871, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.883, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.884, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.895, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.897, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.908, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.909, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:05:12.921, NVIDIA A30, 48, 0 %, 0 %
2022/12/07 02:05:12.922, NVIDIA A30, 42, 0 %, 0 %
