timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/07 02:09:51.067, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.069, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.082, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.083, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.094, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.096, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.107, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.108, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.119, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.120, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.132, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.133, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.144, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.146, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.157, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.158, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.169, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.170, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.182, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.183, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.194, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.195, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.206, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.208, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.219, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.220, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.231, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.233, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.244, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.245, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.256, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.257, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.269, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.270, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.281, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.282, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.293, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.295, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.307, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.308, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.320, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.321, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.332, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.333, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.345, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.346, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.357, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.359, NVIDIA A30, 43, 0 %, 0 %
2022/12/07 02:09:51.370, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.371, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.382, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.384, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.395, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.396, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.408, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.409, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.420, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.421, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.432, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.434, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:09:51.446, NVIDIA A30, 52, 0 %, 0 %
2022/12/07 02:09:51.447, NVIDIA A30, 42, 0 %, 0 %
