timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/07 02:00:48.626, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.628, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.640, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.642, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.653, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.654, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.665, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.666, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.678, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.679, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.690, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.691, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.703, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.704, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.715, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.716, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.727, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.728, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.740, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.741, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.752, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.753, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.764, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.766, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.777, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.778, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.790, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.791, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.802, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.803, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.815, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.816, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.827, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.828, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.840, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.841, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.852, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.853, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.865, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.866, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.877, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.878, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.889, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.890, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.902, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.903, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.914, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.915, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.927, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.928, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.939, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.940, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.951, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.953, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.964, NVIDIA A30, 47, 0 %, 0 %
2022/12/07 02:00:48.965, NVIDIA A30, 42, 0 %, 0 %
2022/12/07 02:00:48.977, NVIDIA A30, 47, 0 %, 0 %
