timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/07 16:50:45.398, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.411, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.422, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.434, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.445, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.456, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.467, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.478, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.489, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.500, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.512, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.523, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.535, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.546, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.558, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.569, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.580, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.591, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.602, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.614, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.625, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.636, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.648, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.659, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.670, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.681, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.693, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.704, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.715, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.727, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.738, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.749, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.760, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.771, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.782, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.794, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.805, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.816, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.827, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.839, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.850, NVIDIA A30, 54, 0 %, 0 %
2022/12/07 16:50:45.861, NVIDIA A30, 54, 0 %, 0 %
