timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/07 23:24:23.249, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.262, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.273, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.284, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.295, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.306, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.317, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.329, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.340, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.351, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.363, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.374, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.385, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.396, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.407, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.418, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.429, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.441, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.452, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.464, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.475, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.486, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.497, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.508, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.519, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.531, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.542, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.553, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.565, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.576, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.587, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.598, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.609, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.620, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.632, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.643, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.654, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.666, NVIDIA A30, 53, 0 %, 0 %
2022/12/07 23:24:23.677, NVIDIA A30, 53, 0 %, 0 %
