timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/06 23:33:32.288, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.301, NVIDIA A100-SXM4-40GB, 27, 0 %, 0 %
2022/12/06 23:33:32.312, NVIDIA A100-SXM4-40GB, 27, 0 %, 0 %
2022/12/06 23:33:32.324, NVIDIA A100-SXM4-40GB, 27, 0 %, 0 %
2022/12/06 23:33:32.335, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.346, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.357, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.368, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.379, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.390, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.401, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.413, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.424, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.435, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.447, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.458, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.469, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.480, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.492, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.503, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.514, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.526, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.537, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.548, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.559, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.570, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.581, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.592, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.604, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.615, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.626, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.638, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.649, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.660, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.671, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.682, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.694, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.705, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.716, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.727, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.738, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.750, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.761, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.772, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.783, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.795, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.806, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.817, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.829, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.840, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.852, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.863, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.874, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.885, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.897, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.908, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.919, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.930, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.941, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.953, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:33:32.964, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
