timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/05 22:07:09.461, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.472, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.483, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.494, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.505, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.516, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.526, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.537, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.548, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.559, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.571, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.583, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.594, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.605, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.616, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.627, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.637, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.648, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.659, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.670, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.681, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.691, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.703, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:09.713, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
