timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/05 22:07:31.534, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.546, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.557, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.568, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.579, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.590, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.600, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.611, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.622, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.633, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.644, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.654, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.665, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.676, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.686, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.697, NVIDIA A100-SXM4-40GB, 29, 12 %, 0 %
2022/12/05 22:07:31.708, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.719, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.730, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.742, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.753, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.765, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.776, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.788, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.799, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.810, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.821, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.832, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.842, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.853, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.864, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.875, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.885, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
2022/12/05 22:07:31.896, NVIDIA A100-SXM4-40GB, 29, 0 %, 0 %
