timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%]
2022/12/06 23:18:47.437, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.450, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.461, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.472, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.483, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.495, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.506, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.517, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.528, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.540, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.551, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.562, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.573, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.585, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.596, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.607, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.618, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.629, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.641, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.652, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.663, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.674, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.686, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.698, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.710, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.721, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
2022/12/06 23:18:47.732, NVIDIA A100-SXM4-40GB, 28, 0 %, 0 %
